"Name","Start Time","End Time","models.Category","Weight"
"Завтрак","07:00","07:30","FAMILY:20"
"Обед","11:50","12:30","FAMILY:30"
"Гриль","14:30","19:30","FAMILY:300;PEOPLE:300;LEISURE:300"
