"Name","Begin Time","End Time","Weights"
"Работа","07:00","16:00","STUDY:30"
"лфк шея","16:00","16:10","SPORT:10"
"Гигиена","16:10","16:15","HYGIENE:5"
"Детская Заправить кроватьЗаправить кровать-----------Квартира Проветривание утромПроветривание утром-----------Детская Уборка предметов с кресла и подокойникаУбрать предметы лежащие не на местах-----------","16:15","16:20","CLEAN:5"
"Занятия дома","16:20","16:50","SPORT:30"
"Гостиная Протереть пыльПротереть пыль и убрать паутину-----------Гостиная Вытереть пыль со всех электронных устройствВытереть пыль со всех электронных устройств-----------","16:50","16:55","CLEAN:5"
"Детская Уборка предметов со столаУбрать предметы лежащие не на местах-----------Кот Чистить зубыЧистить зубы-----------","16:55","17:00","CLEAN:5"
"Ужин","17:00","17:30","FAMILY:20"
"Нескучный вечер","17:30","21:45","LEISURE:180;PEOPLE:180;FAMILY:180;NECESSARY:180"
