"Name","Weight","Duration","Weight"
Лостерин,500,5,"DIFFERENT:5;HYGIENE:5"
Витамин A,500,5,"DIFFERENT:5;HYGIENE:5"
Гормональные мази,500,5,"DIFFERENT:5;HYGIENE:5"
Диета,100,5,"DIFFERENT:5"
без алкоголя,10,5,"DIFFERENT:5"
соль мёртвого моря,5,30,"DIFFERENT:30;HYGIENE:30"
новые идеи,10,5,"DIFFERENT:5"
бальзам маска,100,30,"DIFFERENT:30;HYGIENE:30"
курорт,1,5,"DIFFERENT:5"
увлажняющий лосьон,500,5,"DIFFERENT:5;HYGIENE:5"
шампунь,300,30,"DIFFERENT:30;HYGIENE:30"
