"Name","Weight","Duration","Weight"
Играть,3,35,"STUDY:35"
Бот,6,25,"STUDY:10"
Учебник,2,10,"STUDY:10"
Шахматные задачи,1,10,"STUDY:10"
Видео,1,20,"STUDY:20"
Гамбиты,1,10,"STUDY:10"
cheable.com,3,15,"STUDY:15"
уроки,3,20,"STUDY:20"
